,titles,images,ratings,prices
43,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.1 out of 5 stars,"₹38,600"
44,"Dell Alienware m18 R1 Gaming Laptop,Intel Core i9-13900HX/32GB/1TB SSD/NVIDIA RTX 4080 12GB GDDR6/18.0""(45.72cm) QHD 165Hz/Win 11+MSO'21/15 Month McAfee/Backlit KB per-Key AlienFX/Dark Metallic Moon",https://m.media-amazon.com/images/I/71BxDqP7L5L._AC_UY218_.jpg,4.1 out of 5 stars,"₹3,67,950"
45,"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB/1TB SSD/100% DCI-P3/FHD+IR Camera/Win11/Office 21/Alexa/3 Month Game Pass/Grey/1.39Kg), 83CV002DIN",https://m.media-amazon.com/images/I/81XI2oO6y1L._AC_UY218_.jpg,4.1 out of 5 stars,"₹1,07,990"
46,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/Office 21/FHD+IR Camera/Alexa/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN",https://m.media-amazon.com/images/I/81Ev2S5nrVL._AC_UY218_.jpg,4.1 out of 5 stars,"₹1,08,990"
47,"HP Laptop 15s, Intel Celeron N4500, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD graphics, 720p HD camera, Thin & light, Dual speakers (Win 11, Black, 1.65 kg), fq3066TU",https://m.media-amazon.com/images/I/7113zsRFupL._AC_UY218_.jpg,4.1 out of 5 stars,"₹26,490"
48,"Dell 15 Thin & Light Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD Display, Windows 11 + MSO'21, 15 Month McAfee Antivirus, Black, Spill-Resistant Keyboard,1.66kg",https://m.media-amazon.com/images/I/81T5jRKDkvL._AC_UY218_.jpg,4.1 out of 5 stars,"₹46,990"
49,"HP 255 G9 (840T7PA) Notebook (AMD Athlon Silver-3050U/ 4GB RAM/ 256GB SSD/DOS/ 15.6"" Screen/ 1 Year Warranty), Black",https://m.media-amazon.com/images/I/71V2Q8g87XL._AC_UY218_.jpg,4.1 out of 5 stars,"₹19,440"
50,"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU",https://m.media-amazon.com/images/I/71e-W0fbWRL._AC_UY218_.jpg,4.1 out of 5 stars,"₹47,590"
51,"Samsung Galaxy Book3 Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop (15.6 Inch, Silver, 1.58 Kg, with MS Office)",https://m.media-amazon.com/images/I/816fTYVn5lL._AC_UY218_.jpg,4.1 out of 5 stars,"₹81,990"
52,"HP [Windows 11 Home] 255 G8 Notebook, 15.6'' HD Display, AMD Athlon 3020e Processor, 8GB Memory, 256GB SSD, Wi-Fi, Bluetooth, Type-C Port, RJ-45 Port, Black",https://m.media-amazon.com/images/I/91tJ0jQJ+cL._AC_UY218_.jpg,4.1 out of 5 stars,"₹24,140"
53,"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU",https://m.media-amazon.com/images/I/71IKOHw7f3L._AC_UY218_.jpg,4.1 out of 5 stars,"₹48,590"
54,"Acer [Smartchoice] Aspire Lite AMD Ryzen 7 5700U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD/MSO) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",https://m.media-amazon.com/images/I/61CC9Mx2+aL._AC_UY218_.jpg,4.1 out of 5 stars,"₹43,990"
55,"Dell [Smartchoice 14 Thin & Light Laptop, Intel 12th Gen Core i5-1235U/8GB/512GB SSD/14.0"" (35.56cm) FHD/Intel UHD Graphics/Spill-Resistant Keyboard/Windows 11 + MSO'21/Black/15 Month McAfee, 1.48kg",https://m.media-amazon.com/images/I/81z8lpuKGHL._AC_UY218_.jpg,4.1 out of 5 stars,"₹46,490"
56,"AXL VayuBook Laptop 14.1 Inch FHD IPS Display (4GB Ram,128GB SSD) 1920 * 1080 Resolution | HD Gemini Lake N4020 | Windows 11 Home | UHD Graphics 600 | Space Grey",https://m.media-amazon.com/images/I/61EIqit4e1L._AC_UY218_.jpg,4.1 out of 5 stars,"₹12,990"
57,"MSI Modern 14, Intel 12th Gen. i7-1255U, 36CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12M-459IN",https://m.media-amazon.com/images/I/61yN+3Z7WtL._AC_UY218_.jpg,4.1 out of 5 stars,"₹49,990"
58,"HP Pavilion x360 2-in-1 Laptop 13th Gen Intel Core i5-1335U, 14-inch (39.6 cm) FHD,Multitouch, 16GB RAM, 512GB SSD, Intel Iris X Graphics, B&O, Pen, FPR (Win 11, MSO, 1.69kg), 14-ek1074TU",https://m.media-amazon.com/images/I/71Njhmxnc5L._AC_UY218_.jpg,4.1 out of 5 stars,"₹66,960"
59,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",https://m.media-amazon.com/images/I/61CC9Mx2+aL._AC_UY218_.jpg,4.1 out of 5 stars,"₹28,999"
60,"Dell [Smartchoice 15 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/15.6""(39.62cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant KB/Grey/1.48kg",https://m.media-amazon.com/images/I/71TcPkUibVL._AC_UY218_.jpg,4.1 out of 5 stars,"₹36,990"
61,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, 720p HD camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU",https://m.media-amazon.com/images/I/71BmqssGuRL._AC_UY218_.jpg,4.1 out of 5 stars,"₹51,990"
62,"ASUS Vivobook 14, Intel Core i3-1115G4 11th Gen, 14"" (35.56 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Transparent Silver/1.60 kg), X1400EA-EK322WS",https://m.media-amazon.com/images/I/616TNXcZcHL._AC_UY218_.jpg,4.1 out of 5 stars,"₹35,000"
63,"Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display",https://m.media-amazon.com/images/I/81Xvvl-36aL._AC_UY218_.jpg,4.1 out of 5 stars,"₹26,249"
